iter	Passed	Remaining
855	23263	3913
856	23293	3886
857	23318	3859
858	23348	3832
859	23377	3805
860	23402	3778
861	23439	3752
862	23466	3725
863	23496	3698
864	23530	3672
865	23560	3645
866	23587	3618
867	23616	3591
868	23645	3564
869	23674	3537
870	23702	3510
871	23735	3484
872	23766	3457
873	23793	3430
874	23824	3403
875	23852	3376
876	23881	3349
877	23909	3322
878	23938	3295
879	23965	3268
880	23995	3241
881	24025	3214
882	24050	3186
883	24080	3159
884	24110	3133
885	24137	3105
886	24161	3078
887	24190	3051
888	24215	3023
889	24248	2997
890	24279	2970
891	24303	2942
892	24329	2915
893	24361	2888
894	24392	2861
895	24421	2834
896	24446	2807
897	24474	2779
898	24500	2752
899	24527	2725
900	24558	2698
901	24586	2671
902	24613	2644
903	24642	2616
904	24669	2589
905	24696	2562
906	24721	2534
907	24752	2507
908	24779	2480
909	24808	2453
910	24841	2426
911	24869	2399
912	24897	2372
913	24923	2345
914	24954	2318
915	24978	2290
916	25007	2263
917	25037	2236
918	25066	2209
919	25090	2181
920	25115	2154
921	25143	2127
922	25171	2099
923	25202	2072
924	25233	2045
925	25258	2018
926	25288	1991
927	25316	1964
928	25345	1937
929	25374	1909
930	25403	1882
931	25432	1855
932	25458	1828
933	25489	1801
934	25516	1773
935	25544	1746
936	25579	1719
937	25605	1692
938	25632	1665
939	25660	1637
940	25686	1610
941	25714	1583
942	25740	1555
943	25770	1528
944	25800	1501
945	25824	1474
946	25853	1446
947	25880	1419
948	25909	1392
949	25940	1365
950	25971	1338
951	25997	1310
952	26024	1283
953	26052	1256
954	26079	1228
955	26106	1201
956	26132	1174
957	26158	1146
958	26185	1119
959	26214	1092
960	26241	1064
961	26269	1037
962	26295	1010
963	26322	982
964	26350	955
965	26381	928
966	26406	901
967	26431	873
968	26457	846
969	26485	819
970	26511	791
971	26534	764
972	26565	737
973	26592	709
974	26618	682
975	26647	655
976	26674	627
977	26698	600
978	26721	573
979	26750	545
980	26775	518
981	26802	491
982	26830	464
983	26852	436
984	26882	409
985	26910	382
986	26935	354
987	26962	327
988	26985	300
989	27014	272
990	27040	245
991	27068	218
992	27095	191
993	27121	163
994	27149	136
995	27176	109
996	27201	81
997	27227	54
998	27251	27
999	27277	0
